id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
595594791496135700,Rental unit in Chicago · ★4.88 · 3 bedrooms · 3 beds · 1 bath,431747836,Paria & Damoon,NA,North Center,41.93885,-87.67942,Entire home/apt,150,32,16,2023-10-24,0.78,2,365,9,R21000075997
599134753012399700,Townhouse in Chicago · ★4.63 · 3 bedrooms · 8 beds · 3.5 baths,434462119,GOATstays,NA,Near North Side,41.91052,-87.64077,Entire home/apt,130,2,64,2023-11-27,3.25,9,342,36,R22000079119
595948293511661300,Condo in Chicago · ★4.67 · 3 bedrooms · 3 beds · 2 baths,133403638,Stephanie,NA,Armour Square,41.84952,-87.63098,Entire home/apt,249,2,43,2023-11-10,2.19,1,155,30,R22000086794
599270079159338800,Rental unit in Chicago · ★4.97 · 2 bedrooms · 3 beds · 1 bath,453055712,Isabel M,NA,Avondale,41.93998,-87.71336,Entire home/apt,120,2,65,2023-11-26,3.23,1,355,31,R22000080636
596243441049701200,Rental unit in Chicago · ★4.97 · 1 bedroom · 1 bed · 1 bath,57286741,Nicole And Jason,NA,Lake View,41.94358,-87.67143,Entire home/apt,149,3,37,2023-11-06,1.95,1,0,17,R23000100716
599340739428968700,Serviced apartment in Chicago · 1 bedroom · 1 bed · 1 bath,391945218,Matt,NA,Near North Side,41.88828,-87.63732,Entire home/apt,100,32,0,NA,NA,51,84,0,NA
596432749721020800,Rental unit in Chicago · 1 bedroom · 2 beds · 1 private bath,871911,Mo  &  Ganna,NA,Lake View,41.94456,-87.65249,Private room,50,1,1,2022-12-30,0.08,6,273,1,R22000092432
596433327817897e3,Rental unit in Chicago · 1 bedroom · 3 beds · 1 private bath,871911,Mo  &  Ganna,NA,Lake View,41.94416,-87.65222,Private room,45,1,1,2023-06-28,0.17,6,292,1,R22000092432
599354931252004900,Condo in Chicago · 4 bedrooms · 6 beds · 2 baths,348497711,Rediet,NA,Grand Boulevard,41.80581,-87.61928,Entire home/apt,212,32,0,NA,NA,1,365,0,NA
596574346027014300,Rental unit in Chicago · ★4.43 · 1 bedroom · 1 bed · 2 shared baths,436959191,Yan Na,NA,Bridgeport,41.84761,-87.646960000000007,Private room,45,1,54,2023-11-16,2.67,20,352,39,R22000080118
599419292548991900,Rental unit in Chicago · ★4.75 · 3 bedrooms · 3 beds · 1 bath,441310992,Georges,NA,West Ridge,41.9986,-87.69708,Entire home/apt,105,32,4,2023-11-01,0.25,3,340,2,NA
596632637998928400,Home in Chicago · ★4.59 · 3 bedrooms · 3 beds · 2.5 baths,77414650,Red Door,NA,Woodlawn,41.77494,-87.60757,Entire home/apt,96,32,37,2023-02-25,1.79,21,322,7,R19000046222
599542221242810400,Serviced apartment in Chicago · 2 bedrooms · 2 beds · 1 bath,256888705,Jennipher,NA,Englewood,41.77335,-87.63179,Entire home/apt,100,32,2,2022-05-30,0.1,2,318,0,R21000060738
596649150307933e3,Rental unit in Chicago · ★4.38 · 2 bedrooms · 3 beds · 1 bath,77414650,Red Door,NA,Woodlawn,41.77564,-87.60769,Entire home/apt,63,32,26,2023-02-12,1.26,21,365,6,R19000046222
